Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Fixed Terminal Sub-System","[""Definition""]","FTS","Controllers in the traffic management centers are equipped with a fixed telecommunication system – so called Fixed Terminal System (FTS), which basically combines the all operational railway communications in one device – controller terminal. This terminal is an interface for controller communication with outside world - even withthe train driver.","[""Digital Railway""]",,,,,"Approved",,,"366","F"
"Flood Estimation Handbook","[""Abbreviation""]","FEH",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1198","F"
"Flood Risk Assessment ","[""Abbreviation""]","FRA",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1200","F"
"Flood Zone 1","[""Definition""]","FZ1","Land having a less than 1 in 1,000 annual probability of river or sea flooding. (Shown as ‘clear’ on the Flood Map – all land outside Zones 2 and 3)","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1127","F"
"Flood Zone 2","[""Definition""]","FZ2","Medium Probability.  Land having between a 1% and 0.1% annual probability of river flooding; or land having between a 0.5% and 0.1% annual probability of sea flooding.","[""Environment""]","[""Survey"",""IMS""]",,"Karen Straw",,"Approved",,,"1128","F"
"Flood Zone 3a","[""Definition""]",,"High Probability.  Land having a 1% or greater annual probability of river flooding; or Land having a 0.5% or greater annual probability of sea flooding.","[""Environment""]","[""Survey"",""IMS""]",,"Karen Straw",,"Approved",,,"1129","F"
"Flood Zone 3b","[""Definition""]",,"The Functional Floodplain.  A zone comprising land where water has to flow or be stored in times of flood. Local planning authorities should identify in their Strategic Flood Risk Assessments areas of functional floodplain and its boundaries accordingly, in agreement with the Environment Agency. (Not separately distinguished from Zone 3a on the Environment Agency’s Flood Maps).","[""Environment""]","[""Survey"",""IMS""]",,"Karen Straw",,"Approved",,,"1130","F"
"Floodplain","[""Definition""]",,"An area of low-lying flat ground adjacent to a watercourse, prone to flooding and formed by erosion and deposition by the river. ","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1131","F"
"Footway","[""Definition""]",,"A highway over which the public have a right of way on foot only, these are usually situated next to a road, and used for walking by pedestrians. These are also known as “public paths.”","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1644","F"
"Form, Fit and Functional Interface Specification","[""Definition""]","FFFIS","Specification describing the properties of an interface between components of a piece of equipment that ensures operational and technical interoperability","[""Digital Railway""]",,,,,"Approved",,,"367","F"
"Formal Communication & Promotion","[""Definition""]",,"Refers to the flow of official information through proper, predefined channels and routes.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1541","F"
"Formal Enquiry","[""Definition""]",,"Independent investigations undertaken on EWR Co-related incident by enforcing authorities (i.e. Health and Safety Executive, Rail Accident Investigation Branch). Formal enquires are typically undertaken in parallel with EWR Co internal investigations investigations.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1410","F"
"Fouling Point","[""Definition""]",,"The position on a converging or crossing line beyond which the encroachment of any part of a vehicle would infringe the required passing clearance for a vehicle on another line.","[""Digital Railway""]",,,,,"Approved",,,"368","F"
"Four Foot","[""Definition""]",,"The gap between the inner running faces of a pair of rails – 4’8½” standard gauge.","[""Industry""]",,,,,"Approved",,,"369","F"
"Freedom of Information","[""Definition""]","FOI","The Freedom of Information Act (FOIA) and Freedom of Information (Scotland) Act (FOISA) gives the public the right to see information.  A FOI request is the mechanisms for submitting a  request to a public body.","[""Public engagement and consultation""]",,,,,"Approved",,,"370","F"
"Freight Operating Company","[""Definition""]","FOC","A Rail Operating Companies licensed to provide freight services in Britain.","[""Industry""]",,,,,"Approved",,,"371","F"
"Full Barrier Crossing","[""Definition""]",,"A type of level crossing at which a public highway crosses the railway. Barriers are provided over the full width of the road. The operation of the crossing is monitored by railway staff, most commonly from a remote location using CCTV.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"372","F"
"Full Business Case","[""Definition""]","FBC","The Final Business Case is the final of the three business case stages, following a Strategic Outline Business Case and an Outline Business Case.","[""Industry""]",,,,,"Approved",,,"373","F"
"Full Route Timetable","[""Definition""]",,"Refers to the timetable created for the full EWR route from Oxford to Cambridge","[""EWR""]",,,,,"Approved",,,"374","F"
"Function","[""Definition""]",,"A mode of action or activity by which a product fulfils its purpose.","[""Digital Railway""]",,,,,"Approved",,,"375","F"
"Functional Failure Analysis","[""Definition""]","FFA","An analysis that considers how each system function could fail.","[""Digital Railway""]",,,,,"Approved",,,"376","F"
"Functional Hazard Analysis","[""Definition""]","FHA","A systematic, comprehensive examination of functions to identify and classify failure conditions of those functions according to their severity.","[""Digital Railway""]",,,,,"Approved",,,"377","F"
"Functional Interface Specification","[""Abbreviation""]","FIS",".","[""Digital Railway""]",,,,,"Approved",,,"378","F"
"Functional Specification",,,"The deliverable containing the output requirements for the project.","[""Digital Railway""]",,,,,"Approved",,,"379","F"
"Future Railway Mobile Communication Systems","[""Abbreviation""]","FRMCS",,"[""Digital Railway""]",,,,,"Approved",,,"380","F"
"GB ERTMS","[""Definition""]",,"The implementation of the ERTMS on the GB railway, including: ETCS and GSM-R (as specified by the EU) and GB technical systems; operating, maintenance and training procedures; and management systems incorporating HEROE (Harmonisation of European Rules for Operating ERTMS) and the European Rail Traffic Management Layer (ETML).","[""Digital Railway""]",,,,,"Approved",,,"381","G"
"GB National Standards","[""Definition""]",,"Existing standards (including RGSs) which have been notified to the EC, and which define the ‘network’ where Technical Specifications for Interoperability (TSIs) do not yet exist, and which will be incorporated into future GB National Safety Rules under the Draft EC Railway Safety Directive.","[""Digital Railway""]",,,,,"Approved",,,"382","G"
"GB Railway","[""Definition""]",,"Great Britain’s rail network, the vehicles that operate over it, and all processes and procedures used throughout its life cycle.","[""Digital Railway""]",,,,,"Approved",,,"383","G"
"GEMINI","[""Definition""]",,"An internally used system used to monitor allocations of Multiple Unit trains, their mileage and service history including defects","[""Industry""]",,,,,"Approved",,,"384","G"
"Gemini Principles","[""Definition""]",,"Gemini Principles suggest the values that should guide the development and use of the UK’s National Digital Twin","[""Industry""]",,,,,"Approved",,,"385","G"
"General Data Protection Regulations","[""Abbreviation""]","GDPR",,"[""EWR"",""Gov""]",,,"Karen Campbell",,"Approved",,,"1586","G"
"General Ledger","[""Definition""]","GL","Used to record all a company's transactions.","[""Project Management Office""]",,,"Aleksandra Arnista",,"Approved",,,"1724","G"
"General Packet Radio Service","[""Definition""]","GPRS","Data transmission protocol that allows transmission / reception of data across a GSM network without a continuous connection being required, i.e. radio bandwidth used when transmitting or receiving only.","[""Digital Railway""]",,,,,"Approved",,,"386","G"
"Generalised Journey Time","[""Definition""]","GJT","A measure incorporating the total station-to-station journey time plus time penalties based on the frequency of service and the number of interchanges required. It is expressed in minutes of journey time.","[""Industry""]",,,,,"Approved",,,"387","G"
"Generalised Journey Time Elasticity","[""Definition""]",,"The sensitivity of passenger demand to generalised journey times.","[""Industry""]",,,,,"Approved",,,"388","G"
"Generic Application Safety Case","[""Abbreviation""]","GASC",,"[""Digital Railway""]",,,,,"Approved",,,"389","G"
"Generic EWR Co Standard HSS Requirements","[""Definition""]",,"Document which specifies EWR Co’s full suite of HSS requirements, which may exceed local legal standards or a Supplier’s normal HSS procedures.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1542","G"
"Generic Method Statement","[""Abbreviation""]","GMS",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1587","G"
"Generic Risk Assessment","[""Definition""]","GRA","Documented exercise covering the foreseeable hazards arising from the day-to-day activities of EWR Co personnel.							
","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1411","G"
